year,month,district,zone,value
2008,1,ARGANZUELA,DELICIAS,26911
2008,1,ARGANZUELA,IMPERIAL,23376
2008,1,ARGANZUELA,ACACIAS,38142
2008,1,ARGANZUELA,ATOCHA,1089
2008,1,ARGANZUELA,PALOS DE MOGUER,28228
2008,1,ARGANZUELA,LEGAZPI,13768
2008,1,ARGANZUELA,CHOPERA,22156
2008,2,ARGANZUELA,LEGAZPI,13867
2008,2,ARGANZUELA,CHOPERA,22134
2008,2,ARGANZUELA,IMPERIAL,23375
2008,2,ARGANZUELA,ATOCHA,1081
2008,2,ARGANZUELA,ACACIAS,38183
2008,2,ARGANZUELA,PALOS DE MOGUER,28240
2008,2,ARGANZUELA,DELICIAS,26914
2008,3,ARGANZUELA,ATOCHA,1074
2008,3,ARGANZUELA,DELICIAS,27024
2008,3,ARGANZUELA,ACACIAS,38282
2008,3,ARGANZUELA,CHOPERA,22177
2008,3,ARGANZUELA,IMPERIAL,23426
2008,3,ARGANZUELA,PALOS DE MOGUER,28401
2008,3,ARGANZUELA,LEGAZPI,13986
2008,4,ARGANZUELA,LEGAZPI,14111
2008,4,ARGANZUELA,DELICIAS,26945
2008,4,ARGANZUELA,IMPERIAL,23355
2008,4,ARGANZUELA,ATOCHA,1069
2008,4,ARGANZUELA,CHOPERA,22104
2008,4,ARGANZUELA,PALOS DE MOGUER,28333
2008,4,ARGANZUELA,ACACIAS,38257
2008,5,ARGANZUELA,DELICIAS,26911
2008,5,ARGANZUELA,ATOCHA,1064
2008,5,ARGANZUELA,CHOPERA,22089
2008,5,ARGANZUELA,ACACIAS,38229
2008,5,ARGANZUELA,IMPERIAL,23348
2008,5,ARGANZUELA,PALOS DE MOGUER,28345
2008,5,ARGANZUELA,LEGAZPI,14217
2008,6,ARGANZUELA,PALOS DE MOGUER,28268
2008,6,ARGANZUELA,DELICIAS,26943
2008,6,ARGANZUELA,LEGAZPI,14353
2008,6,ARGANZUELA,ACACIAS,38233
2008,6,ARGANZUELA,ATOCHA,1066
2008,6,ARGANZUELA,CHOPERA,22107
2008,6,ARGANZUELA,IMPERIAL,23302
2008,7,ARGANZUELA,LEGAZPI,14474
2008,7,ARGANZUELA,ATOCHA,1060
2008,7,ARGANZUELA,IMPERIAL,23274
2008,7,ARGANZUELA,DELICIAS,26855
2008,7,ARGANZUELA,CHOPERA,22082
2008,7,ARGANZUELA,ACACIAS,38247
2008,7,ARGANZUELA,PALOS DE MOGUER,28280
